Acronym,Name,Location,Submission deadline,Start date,Topics
ICGAL2025,International Conference and Summer Institute on GenAI Literacy: Multidisciplinary Research and Practice in the Age of GenAI,"Budapest, Hungary","May 12, 2025","Jun 10, 2025","['artificial intelligence', 'genai literacy', 'ai for education']"
ICCE2025,International Conference on Computers in Education 2025,"Chennai, India",,"Dec 1, 2025","['artificial intelligence in education', 'education technology', 'learning science', 'computer supported collaborative learning']"
EVALSUP 2025 & CIMQUSEF 2025,Rethinking and Advancing the Quality in Education,"Oujda, Morocco","Jun 30, 2025","Oct 22, 2025","['artificial intelligence in education', 'rethinking educational quality', 'public policies and governance', 'changing educational paradigms']"
DTLP'25,Digital Transformation in the Teaching and Learning Process,"Natal, Brazil","May 31, 2025","Jul 10, 2025","['tecnologias na educação', 'transformação digital no ensino', 'inovação pedagógica']"
ACTER25,CTE Research and Professional Development Conference,"Nashville, TN, United States","Jun 1, 2025","Dec 8, 2025","['vocational education', 'career and technical education', 'human resources development']"
ITADINFO 2025,Convegno italiano sulla Didattica dell’Informatica,"Salerno, Italy","May 31, 2025","Oct 3, 2025","['racconti di esperienze sul campo', 'relazioni scientifiche', 'laboratori di formazione degli insegnanti', 'video e animazioni divulgativi']"
ELEC2025,"European Lean Educator Conference  ""LEAN in Action: Digitalization, Sustainability, and Operational Excellence""","Rzeszów, Poland","Apr 30, 2025","Oct 22, 2025","['lean manufacturing', 'digitalization an lean', 'sustanaibility in lean', 'operational excelence']"
2 Congreso MadrID,II Congreso en Innovación Docente de las Universidades Madrileñas,"Madrid, Spain","May 4, 2025","Oct 2, 2025",[]
ICTERI-2025,"20th International Conference on ICT in Education, Research, and Industrial Applications","Nice, France","May 5, 2025","Sep 1, 2025","['fundamental ict and is research', 'artificial intelligence: research and applications', 'ict in academia and industry']"
ICETM 2025,The 8th International Conference on Educational Technology Management,"Guangzhou, China","May 5, 2025","Oct 17, 2025","['instructional design', 'learning analytics', 'inclusive education', 'emerging technologies']"
NWISEd 2025,3rd Workshop on Co-Creating New Ways of Information Systems Education,"Maribor, Slovenia","Jun 2, 2025","Sep 10, 2025","['education', 'teaching', 'information systems', 'innovation']"
ISCSET 2025,14th International Symposium on Computer Science and Educational Technology,"Ulaanbaatar, Mongolia","May 1, 2025","Sep 16, 2025","['computer science', 'engineering', 'educational technology']"
2025ECK,"3rd Foundations for Learning Conference, 2025","Nairobi, Kenya","May 19, 2025","Aug 13, 2025",[]
MDYR25,Mathematikdidaktik Young Researchers Meeting,"Linz, Austria","Jun 30, 2025","Sep 4, 2025",[]
NITS 2025 - master thesis award,Network of Interdisciplinary Translation Studies in the Netherlands and Flanders (master thesis award),"Tilburg, Netherlands",,,"['translation', 'interpreting', 'machine translation']"
TAIES 2025,2o Taller de  Avances en la Investigación y Educación para la Salud,"Puebla, Mexico","Jul 11, 2025","Jul 14, 2025","['educación para la salud', 'cuidado de la salud', 'recursos digitales']"
Didamatica 2025,L’intelligenza artificiale a supporto della didattica,"Lucca, Italy","Mar 11, 2025","Apr 3, 2025","['ia a supporto della didattica', 'e learning: strumenti e metodologie', 'trasformazione digitale', 'insegnamento dell informatica']"
ICITL 2025,International Conference of Innovative Technologies and Learning 2025,"Oslo, Norway",,"Aug 5, 2025",[]
ICER 2025,The 11th International Conference on Educational Reform,"Maha Sarakham, Thailand","Apr 30, 2025","Jun 6, 2025","['teaching and learning', 'innovation & technology', 'interdisciplinary']"
WSOA2025,9o. Workshop en Objetos de Aprendizaje,"Puebla, Mexico","May 6, 2025","May 16, 2025","['objetos de aprendizaje', 'recursos digitales educativos', 'psicoeducación', 'simuladores para la enseñanza']"
eLFA2025,eLearning Forum Asia 2025,,"Jun 5, 2025","Aug 14, 2025","['digital age', 'lifelong learning', 'digitalization']"
ELT_2025,"Call for Papers: Special Issue. July 2025: Innovations in Language Education: Bridging Theory and Practice in LSP, ESP, and ELT","BEJAIA, Algeria",,,"['esp in professional context', 'innovations in elt', 'lsp and esp pedagogical practices', 'policies and institutional frameworks']"
PLL6,The 6th Psychology of Language Learning Conference,"Shantou, China","Apr 30, 2025","May 21, 2026","['applied linguistics', 'second language education', 'educational psychology', 'english language teaching and learning']"
SEHET25,Eighth Workshop on Strategies for Enhancing HPC Education and Training,"Columbus, OH, United States","May 16, 2025","Jul 20, 2025","['hpc education', 'hpc training', 'hpc pedagogy', 'hpc assessment']"
BICE 2025,Black Issues in Computing Education Symposium 2025,"Miami, FL, United States",,"Oct 8, 2025",[]
ICFULL & GLoCALL 2025,The International Conference on Future Language Learning (ICFULL 2025) AND the Global and Local Conference on Computer-Assisted Language Learning (GLoCALL 2025),"Beijing, China","Mar 30, 2025","May 23, 2025","['computer assisted language learning', 'educational technology', 'learning analytics', 'game based learning']"
CELEBLS2025,International Conference on Enhancing Lifelong Education and Building Learning Societies through Digitalization,"Guangzhou, China","Mar 26, 2025","Jun 18, 2025","['artificial intelligence and digital education', 'digital open education', 'digital lifelong education', 'education in greater bay area']"
LTEC2025,The 13th Learning and Technology Educational Challenges,"Sabah, Malaysia","Feb 3, 2025","Aug 4, 2025","['learning analytics', 'ai machine learning in education', 'mobile learning (m learning)']"
CTST 2025,Khoa học và Công nghệ Giao thông vận tải 2025,"Hồ Chí Minh, Viet Nam","Apr 10, 2025","May 17, 2025","['transportation, environment, construction', 'mechanical, automatic, electrical and electronics', 'information technology, economics', 'social sciences, basic sciences']"
CLLTR3,"Corpora in Language Learning, Translation and Research","Zadar, Croatia","May 1, 2025","Aug 27, 2025","['corpora', 'language learning', 'translation', 'lexicography']"
ICS 2025,ICS exchange Conference 2025,"Foggia, Italy","Apr 29, 2025","Jun 5, 2025","['psychology', 'education', 'inclusion', 'learning and technologies']"
ICER 2025,The 18th International Conference on Educational Research 2025,"Khon Kaen, Thailand","Jul 13, 2025","Aug 22, 2025","['curriculum and instruction in digital', 'inclusive and sustainable education', 'educational technology and innovation', 'human skills and future competencies']"
ETD 2025,ETD 2025 Symposium,"Virtual, WV, United States","Sep 18, 2025","Sep 25, 2025","['the impact of etds', 'streamlining etd processing', 'research practices']"
PATT42,The 42nd Pupils' Attitudes Toward Technology (PATT) Conference,"Montreal - Longueuil, Canada","Mar 15, 2025","Sep 29, 2025","['technology education', 'engineering education', 'stem education', 'design education']"
ICETC 2025,The 17th International Conference on Education Technology and Computers,"Barcelona, Spain","May 30, 2025","Sep 18, 2025","['blended learning', 'distance education', 'teacher evaluation', 'security aspects']"
2ndICEDL-2025,Second International Conference on Electronic and Distance Learning 2025 - المؤتمر الدولي الثاني للتعليم الإلكتروني والتعليم عن بعد بجامعة العلوم والتكنولوجيا,"Aden, Yemen",,"Jun 21, 2025",[]
2025 ICACIT Symposium,The 11th International Symposium on Accreditation of Engineering and Computing Education,"Chiclayo, Peru","Jun 15, 2025","Oct 15, 2025","['quality assurance and accreditation', 'teaching and learning in engineering', 'digital transformation in higher education', 'artificial intelligence in educational']"
REES & RCEE 2025,Research in Engineering Education Symposium and Regional Conference in Engineering Education 2025,"Johor Bahru, Malaysia","May 31, 2025","Sep 29, 2025",[]
JECN2024,"Jornadas de Enseñanza de las Ciencias Naturales en los Colegios, Escuelas e Institutos Preuniversitarios","Ciudad Autónoma de Buenos Aires, Argentina","Mar 10, 2025",,"['educación', 'ciencias naturales', 'didactica de las ciencias naturales']"
SALTISE 2025,SALTISE 2025,"Montreal, Canada","Feb 10, 2025","Jun 4, 2025","['educational technologies', 'active learning practices', 'learning analytics ai', 'research practice implementation']"
Yurii Ramskyi STE(A)M Workshop 2025,4th Yurii Ramskyi STE(A)M Workshop,"Ternopil, Ukraine","Jan 20, 2025","May 14, 2025","['stem', 'computer science']"
MIS4TEL'25,15th International Conference on Methodologies and Intelligent Systems for Technology Enhanced Learning,"Lille, France",,"Jun 25, 2025",[]
WIL´25,International conference of Work-Integrated Learning 2025,"Oslo, Norway",,"Sep 22, 2025",[]
TEDU25,Transforming Tourism and Hospitality through Education,"Brežice, Slovenia","Apr 7, 2025","May 14, 2025","['education', 'tourism', 'hospitality', 'competencies']"
Conferencia Internacional ASCOLFA 2025,Transformación organizacional y liderazgo en la era digital,"Medellín, Antioquia, Colombia","Mar 9, 2025","Mar 25, 2025","['transformacion digital y nuevas tecnologías', 'innovacion y sostenibilidad en modelos', 'liderazgo y contextos de cambio', 'competencias y desarrollo profesional educación']"
JIT25,Jornadas Internacionais de Tunas 2025,"Bragança, Portugal","Jan 31, 2025","Mar 21, 2025",[]
CDER-Book-2024,CDER Book Project - Topics in Parallel and Distributed Computing: From Concepts to the Classroom,"San Antonio, TX, United States","Nov 30, 2024",,"['experience of early adopters', 'guidelines to instructors', 'instructional modules and resources', 'early and advanced computing courses']"
AIPH2025,7a Conferenza Nazionale dell’Associazione Italiana di Public History,"Modena, Italy","Jan 10, 2025","Jun 3, 2025","['public history', 'cultural heritage', 'museum', 'library']"
